W1	C1	P1	W2	C2	P2	R	POS
aborrecer	Não é um livro típico da autora e pode aborrecer leitores mais impacientes.	9	aborrecer	Antes de morir, aborrece el espiritismo y prepara una prueba definitiva contra él.	3	0	N
aceso	Na Finlândia, duas velas são acesas no Dia da Independência.	5	acceso	Los sistemas de memoria distribuidos tienen acceso no uniforme a la memoria.	6	0	N/A
aceite	O quadro seguinte apresenta as regras de construção de sufixos mais comummente aceites.	12	aceite	El vino tiene mucha menor importancia con respecto al aceite de oliva en la provincia.	9	0	N
azeite	A oliveira produz azeitonas, que são usadas para fazer azeite.	9	aceite	Asimismo, también se producen grandes volúmenes de aceite de oliva.	7	1	N
Adeus	Era o adeus a qualquer perspectiva de retorno.	2	Adiós	La selección decía adiós al torneo mundialista sin perder un solo choque.	3	1	N
alargar	Lá eles se alargam e se tornam lentos enquanto correm para o oeste.	3	alargar	El nudo se puede ajustar para alargar o acortar la cuerda del arco.	6	0	V
aleijar	Contudo, a sua morte a duramente aleijou e logo desapareceu.	6	alejar	Al principio, sin embargo, ella se alejó de la política.	6	0	V
alguém	Inibir quer dizer, tentar impedir alguém de realizar algo.	5	alguien	También se puede usar sarcásticamente cuando alguien dice lo obvio o demuestra falta de sabiduría o inteligencia.	6	1	IND
aliança	Uma aliança política pode ser celebrada em o plano internacional ou em o plano nacional.	1	alianza	Entonces se forma una alianza entre los mexicanos y varios otros grupos.	4	1	N
aliás	Aliás, nada impede que isso ocorra agora, em este exato momento.	0	alias	Tras su muerte se le mencionaba con el alias del Ausente o el Mártir.	8	0	A
andar	O sétimo andar foi concluído em 1319.	2	andar	Sin embargo, los signos de que algo andaba mal eran cada vez más visibles.	7	0	N/V
ano	Quase mil anos depois, começou o processo de domesticação de plantas, sedentarização e aparecimento de novas tecnologias em a região andina.	2	ano	Por detrás del estómago se encuentra un intestino que acaba a través del ano en la cavidad paleal.	13	0	N
apagar	É possível apagar estas imagens sem esperar por os 15 dias?	2	apagar	El motor funciona durante cuatro minutos y medio, y luego se apaga automáticamente.	11	0	V
aparato	Estes aparatos que proporcionam a visão noturna artificial são câmeras portáteis.	1	aparato	Modernamente la salsa se puede montar con batidora u otros aparatos similares.	10	1	N
apenas	Com apenas 50 metros de extensão, tem águas verdes e ondas fortes.	1	apenas	El matrimonio apenas duró 10 meses, Emma se separó y se fue a Nueva York.	2	0	A
abertura	Este curta-metragem seria usado então na sequência de abertura.	8	apertura	El acto de apertura finalizó con las estrofas del Himno Nacional Argentino.	3	1	N
aproveitar	Muitas orquídeas aproveitam esse comportamento inato para se reproduzir.	2	aprovechar	También nacen varias vertientes que se aprovechan para consumo humano.	6	1	V
apurar	Já a Polícia Civil tem o objetivo de combater e apurar as ocorrências de crimes e infrações.	10	apurar	Ella reconoció que apuraron su matrimonio debido a que había quedado embarazada.	3	0	V
armadilho	Ele só não pensava que alguém estivesse vigiando essa rotina e inclusive preparasse uma armadilha.	14	armadillo	Su fauna se conforma por armadillo, conejo, coyote y ardilla.	5	0	N
harmonia	Os animais vivem em harmonia total com a natureza.	4	armonía	Era, pues, aquella, una bandera que significaba unión y armonía.	9	1	N
assinar	Assinou um contrato de quatro anos com a equipe carioca.	0	asignar	El sistema actual asigna un número romano a cada distrito junto con su nombre.	3	0	V
assinatura	A dramaturgia surge com a assinatura de algumas peças de teatro assumindo se também como realizador.	5	asignatura	Según Harry, esa asignatura sería más interesante dada por cualquier otro profesor.	3	0	N
aula	Entrementes ganhava a vida dando aulas e concertos privados, e continuou a compor.	5	aula	Disponen de espacios comunes, aulas de informática, lugares reservados para el ocio con préstamo de diversos juegos, despachos y salas de reuniones.	4	0	N
ajuda	Não havia nenhuma política de recuperação social ou ajuda financeira.	8	ayuda	Actualmente realiza proyectos de urbanización, equipo médico y ayuda social.	8	1	N
azar	 Um exemplo comum no Brasil é a crença de que quebrar um espelho causa sete anos de azar.	17	azar	Prosperaron el hambre, la prostitución y los juegos de azar.	9	0	N
balcão	Nesta localidade existem vários balcões bancários e comerciais.	4	balcón	También existen balcones de hierro de forja y de fundición.	2	0	N
balão	No nível orbital estão os balões meteorológicos e os satélites.	5	balón	En el deporte del waterpolo hay varias formas de pasar el balón.	11	0	N
barata	Kafka descreve este inseto como algo parecido com uma barata gigante.	9	barata	O cánula rígida, más barata pero menos eficaz.	4	0	N/A
bárbaro	Com isso, permaneciam constantes as ameaças bárbaras.	6	bárbaro	Bárbaros y árabes también pasaron por estas tierras.	0	1	A
vassoura	Por isso o seu símbolo de campanha era uma vassoura.	9	basura	Uno de los principales problemas de la ciudad es la basura.	10	0	N
batata	As produções principais são a batata, o centeio, castanha e pastagens para gado ovino.	5	batata	La papa y la batata son alimentos ampliamente utilizados desde tiempos precolombinos.	4	0	N
beca	beca preta, samarra e capelo na cor de a área de conhecimento do doutor.	0	beca	Reciben una beca que cubre sustento, hospedaje y otros gastos.	2	0	N
bengala	 Outros ainda necessitam de uma bengala de apoio.	5	bengala	Durante la noche, las fuerzas israelíes dispararon bengalas iluminando los campamentos.	7	0	N
