W1	C1	P1	W2	C2	P2	R	POS
cociña	A parte lígnea, moi dura, servía tamén coma combustíbel nas cociñas de leña e nas lareiras.	10	cozinha	Era onde ficava a cozinha, já há muitos anos desativada.	4	1	N
exclusivo	teñen un uso exclusivo da máquina.	3	exclusivo	Um projeto consiste em um trabalho temporário para criar um produto, serviço ou resultado exclusivo.	14	1	A
acabar	O debate dos ministros sobre o tratado acabou onte sen conclusións escritas.	7	acabar	Acabou a luta, arrancou a pele do animal com as suas próprias mãos e garras e logo passou a utilizá a como vestuário.	0	1	V
adquirir	Feijoo prometeu baixar o imposto de Tramitacións Patrimoniais, que grava os actos xurídicos que deben sufragarse para adquirir un piso.	17	adquirir	Seu próprio sobrinho Lionardo teve de desembolsar uma elevada quantia quando quis adquirir alguns no mercado de arte romano.	12	1	V
agradábel	Hai un mes fixemos un percorrido moi agradábel polo Courel, puidemos sentir as texturas do bosque e axexar fervenzas.	7	agradável	A enzima penetrará, então, na carne, tornando a mais tenra e, eventualmente, de sabor mais agradável depois de cozida.	15	1	A
almorzo	Agora xa non se ergue pola mañá para prepararlles o almorzo.	10	almoço	O almoço ou jantar é disponibilizado em aparadores, em pontos estratégicos em a festa.	1	0	N
animal	Todas as células humanas son eucariotas, como as células de todos os animais e plantas.	12	animal	Destaca-se por possuir um vasto sítio paleontológico, onde já foram descobertas várias espécies de animais extintos.	12	1	N
asentar	Pero tamén foron importantes outras estratexias coas que o franquismo buscou asentar a súa hexemonía.	11	assentar	Ele fez uma jogada arriscada ao assentar as bases para a expansão futura em plena Depressão.	7	1	V
avó	Recordaba unha lenda que lle contara seu avó.	7	avó	Depois de três anos a Avó morre.	5	0	N
bacharelato	Regresou a España, concluíu os estudos de Bacharelato e iniciou a carreira de Dereito.	7	bacharelato	Posteriormente, foram estabelecidos cursos de bacharelato em outras áreas do ensino superior.	5	0	N
bailado	Pero vaites, que lles quiten o bailado.	6	bailado	Merece especial destaque em este bailado a atuação dos elementos musicais.	5	0	N/V
baile	No caso do obradoiro de baile tradicional galego.	5	baile	Tornou-se comum nas rádios e nos bailes.	6	0	N
balcón	A bandeira esperantista ondeou no balcón principal.	5	balcao	Os balcões são modulares de crédito, bem como a comparação de os créditos consumidos para limite de crédito requer módulo.	1	0	N
balón	Croacia, pola contra, buscou o balón.	5	balao	Vários aviões e balões foram destruídos.	3	0	N
bengala	A neboa e fume de bengalas tecen un pano mesto sobre o campo.	5	bengala	Caminhava com o auxílio de uma bengala ou bastão.	6	0	N
bico	Bicos e apertas coma sempre.	0	bico	Sua principal característica é o topete vermelho sobre o bico, presente apenas no macho.	9	0	N
billa	Con todo, a auga sae xa con menos cheiro e sabor a cloro, unha circunstancia que disuadía a moitos cidadáns de tomar auga da billa.	24	bilha	 Em uma de essas lendas, a moura pede leite a uma pastora e em troca enche-lhe a bilha com carvões.	17	0	N
billete	Un detido en Lugo por imprimir billetes falsos que cambiaba por moedas en máquinas expendedoras.	6	bilhete	Os serviços públicos, nomeadamente na emissão de passaportes e bilhetes de identidade, sempre usaram a real nomenclatura.	9	0	N
bolsa	Dunha bolsa de plástico que sobresaía viron que asomaba unha perna de plástico.	1	bolsa	A emissora entra na bolsa de valores.	4	0	N
bolso	Ela perdeu o bolso cando quixo renovar o carné de identidade.	3	bolso	Os primeiros relógios utilizados foram os relógios de bolso.	8	0	N
borracha	Efectivamente, ela estaba borracha e ademais non nos conociamos de nada.	3	borracha	Os pneus dos carros são feitos de borracha.	7	0	N/A
branco	Como reverso da moeda, foi o branco dos autores cómicos que a describen como unha vulgar encargada dun bordel e unha intrigante	7	branco	Algumas receitas podem adicionar uma pequena porção de vinho branco.	9	0	N/A
brillar	os seus ollos brillaban.	3	brilhar	Para os egípcios, a pirâmide representava os raios do Sol, brilhando em direção à Terra.	10	1	V
brincar	Os canguros posúen unhas patas traseiras longas e poderosas, uns pés longos para brincar, unha longa cola que os axuda co seu equilibrio, e unha cabeza pequena.	13	brincar	Junto a a rocha, estavam uma menina muito pequena, um peixe, um polvo e um caranguejo a brincar.	17	0	V
cachorro	Posteriormente, a reserva fará unha preselección de cinco dos nomes elixidos para que, en colaboración co zoo madrileño, se escollan de entre eles os dous máis idóneos para os cachorros.	29	cachorro	Concursos vão desde recordes óbvios, como levantamento de peso aos mais incomuns, como jogar um ovo à mais longa distância ou o maior número de cachorros quentes que podem ser consumidos em dez minutos.	25	0	N
caer	adan e eva caeron.	3	cair	Interpretou-se que evitar soluções sub-óptimas como estas passa pela privatização dos bens de acesso público, limitando em função da renda o número de pessoas que podem cair na tentação.	26	1	V
caixón	Este proxecto foi descartado e quedou en o caixón ata os anos noventa.	8	caixão	No dia seguinte, a cabeça do rei foi costurada de volta ao seu corpo, que então foi embalsamado e colocado num caixão de chumbo.	21	0	N
cámara	Cámaras de televisión e formatos de vídeo.	0	câmara	O município de Arruda dos Vinhos é administrado por uma câmara municipal composta por um presidente e seis vereadores.	10	0	N
caneta	A caneta xa non é de terra nin de o Concello!	1	caneta	A ferramenta de desenho tradicional é uma caneta de aparo.	7	0	N
