W1	C1	P1	W2	C2	P2	R	POS
acceso	Sin la contraseña no tendré acceso a tu sesión.	5	aceso	A luz já estava acesa.	4	0	N/A
alejar	Intentó alejarse de las malas influencias.	1	aleijar	O acidente de carro quase o aleijou para sempre.	6	0	V
apertura	La conferencia de apertura empezó a las 10.00 horas.	3	abertura	A cena de abertura desta peça é espantosa.	3	1	N
ayuda	Colabora en organizaciones de ayuda a los más necesitados.	4	ajuda	Precisava de uma boa ajuda financeira	4	1	N
azar	No tiene mérito ganar un juego de azar.	7	azar	O meu guarda-chuva partiu, que azar!	5	0	N
bárbaro	Y entonces los bárbaros invadieron el territorio.	3	bárbaro	Os povos bárbaros invadiram o território.	2	1	A
billete	Sólo tengo este billete de 10 euros.	3	bilhete	O sistema de emissão de bilhetes do metro funciona bem.	5	0	N
bolso	Este bolso es muy pequeño, casi no coge la cartera.	1	bolso	O meu avô andava sempre com um relógio de bolso.	9	0	N
cámara	La pintura muestra la cámara mortuoria de Alfonso XII.	4	câmara	A Câmara Municipal alocou fundos para diversos projetos ecologistas.	1	0	N
cartón	Para esta manualidad emplearemos cartón de una caja de zapatos.	4	cartão	Podes fazer o pagamento com o teu cartão de crédito.	7	0	N
concepto	Ese término puede designar diferentes conceptos.	5	conceito	Explicou o conceito de gravidade com um modelo físico.	2	1	N
copo	Copos de nieve, renos y luces le provocan recuerdos navideños.	0	copo	O copo caiu e partiu-se.	1	0	N
cumplido	Este detalle es para un cumplido.	5	comprido	Ela tem o cabelo comprido.	4	0	N
demasiado	Es demasiado pronto para levantarse, vuélvete a dormir.	1	demasiado	Isso foi demasiado difícil para ela.	2	1	R
embutido	De embutidos sólo nos queda un poco de chorizo.	1	embutido	O aglomerado embutido mais conhecido é o aglomerado do Trapézio.	2	0	N
escoba	Coge la escoba y barre la cocina.	2	escova	Para escovar corretamente os dentes é necessária uma boa escova.	9	0	N
fechar	Falta un año, es pronto para fechar la cerimonia.	6	fechar	A escotilha do submarino fechou-se corretamente e não entrava água.	4	0	V
grande	Al final se resolvió sin grandes problemas.	5	grande	A cidade tem grandes prédios e museus.	3	1	A
grasa	La médica le aconsejó una dieta baja en grasas.	8	graxa	Ele sujou as luvas a causa da graxa desses produtos.	7	0	N
grifo	Ese grifo sólo echa agua fría.	1	grifo	O grifo é metade águia e metade leão.	1	0	N
ideal	Ese hábitat es ideal para esta especie.	3	ideal	Trata-se de um ecossistema ideal para esta espécie vegetal.	4	1	A
idealismo	Es un experto en el idealismo kantiano.	5	idealismo	Este é o seu quadro preferido pelo idealismo que transmite.	7	1	N
idealista	Su filosofía es de corte idealista.	5	idealista	É um filósofo idealista com inúmeras obras.	3	1	A
iguana	En esa zona habitan iguanas marinas.	4	iguana	A iguana é um animal herbívoro.	1	1	N
impedir	La ingesta de alcohol impide que el medicamento actúe adecuadamente.	4	impedir	A vacina impede a propagação dos piores efeitos do vírus.	2	1	V
imperial	Ese edificio es de la época imperial.	6	imperial	O seu exército imperial chegava aos 24.000 homens.	3	1	A
impersonal	No está cómodo por ese trato impersonal de la empresa.	6	impessoal	O tratamento nessa empresa é muito impessoal.	6	1	A
imposible	Ha sido imposible encontrar sitio en ese restaurante.	2	impossível	Fica tranquilo, é praticamente impossível que sofras essa doença.	4	1	A
impuro	El hafnio puro se obtiene de circonio impuro.	7	impuro	A glauconita é comum em calcários impuros.	6	1	A
incienso	Al llegar a su casa, encendió una barra de incienso.	9	incenso	Na catedral o incenso era empregado contra o mau cheiro.	3	1	N
incluir	Esa ensalada incluye lechuga, tomate, atún y zanahoria.	2	incluir	O programa turístico inclui duas noites nesse hotel.	3	1	V
incluyendo	Me encanta su obra, incluyendo sus últimos cuadros.	4	incluindo	O cardápio melhorou muito, ampliando opções e incluindo comida vegetariana.	7	1	V
indemnización	Finalmente deberá pagarle 1.000 euros como indemnización.	6	indenização	Ele pede uma indenização por danos morais.	3	1	N
independiente	Es una ciencia independiente de las matemáticas.	3	independente	A lírica medieval francesa não foi independente da occitana.	6	1	A
individual	Los bonos son de uso individual.	5	individual	Os balneários não são de uso individual.	6	1	A
lavado	Debes realizar dos lavados nasales diarios con suero fisiológico.	3	lavagem	A lavagem das mãos é essencial para evitar infeções.	1	1	N
más	¿Cuál ha sido el mes más soleado este año?	5	mas	Queria sair, mas está chovendo.	2	0	C
neto	Deberías informarte de las tarifas de balance neto de autoconsumo.	7	neto	Tem duas filhas e três netos.	5	0	N
paseo	El paseo en el tren turístico está teniendo mucho éxito.	1	passeio	As bicicletas não devem circular nos passeios.	6	0	N
pegada	Ese futbolista tiene una buena pegada de pie derecho.	5	pegada	O lobo andou por aqui, há pegadas das suas patas.	6	0	N
perdón	Me pidió perdón por no haber llamado antes.	2	perdão	Ele ofendeu gravemente e deve pedir perdão.	6	1	N
Perú	¿Has estado ya en Perú?	4	peru	O almoço de hoje será peru com batatas.	5	0	N
piña	De postre pidió piña en almíbar.	3	pinha	Viste aquele esquilo na árvore a comer uma pinha?	8	0	N
poco	Con estos ejercicios mejorarás un poco la elasticidad.	5	pouco	Há poucos alunos neste grupo.	1	1	R
pronto	Una vez allí pronto encontró nuevas amistades.	3	pronto	Ele já está pronto para partir.	3	0	A
queso	Es un queso curado con mucho sabor.	2	queixo	Ele tem um queixo proeminente coberto por uma pêra.	3	0	N
reparar	Con esta crema la piel se reparará en una semana.	6	reparar	Ela reparou em que tinha deixado o livro em casa.	1	0	V
requiere	Dominar esa ciencia requiere años de estudio.	3	requer	Conseguir um ótimo resultado requer muito esforço.	4	1	V
respeto	Era un hombre que infundía respeto.	5	respeito	O respeito é fundamental para um bom ambiente de trabalho.	1	1	N
salada	La pasta está demasiado salada para mi gusto.	4	salada	Comi uma salada de alface, tomate e queijo.	2	0	N/A
seguridad	Ha decidido instalar cámaras de seguridad.	5	segurança	Existem muitas medidas de segurança nesta empresa.	4	1	N
sótano	Era una casa grande que también disponía de sótano.	8	sótão	Na parte superior do edifício há um sótão.	7	0	N
sueño	No ha dormido nada y tiene mucho sueño.	7	sonho	Ela não voltará para lá nem em sonho.	7	0	N
suspender	Si no estudias suspenderás el examen.	3	suspender	Os esquadrões seguiram as ordens e suspenderam o ataque.	6	0	V
termo	He traído café en este termo.	5	termo	Este dicionário define mais de 20.000 termos.	6	0	N
valla	Ese terreno está rodeado por una valla.	6	valha	Tomara que essa viagem valha a pena.	4	0	N
venda	Ponte esta venda en los ojos para poder jugar.	2	venda	É uma loja famosa pela venda de plantas exóticas.	5	0	N
armonía	Parece que viven en perfecta armonía.	5	harmonia	A harmonia entre as pessoas é essencial para viver em paz.	1	1	N
receta	¿Tienes la receta del guiso de la abuela?	2	receita	Encontrei uma receita deliciosa de bolo de chocolate.	2	1	N
