W1	C1	P1	W2	C2	P2	R	POS
abalar	Mentres non abales o berce, o neno vai seguir chorando.	2	avalar	Está avalado por dos grandes expertos del tema.	1	0	V
abonar	Esa subscrición é mensual, tes que abonar o custe mensualmente.	6	abonar	Debes abonar la tierra para un mejor crecimiento del cultivo.	1	0	V
alagar	Por causa do temporal alagáronse moitos establecementos.	4	halagar	Deja de intentar halagarme.	3	0	V
almorzar	Gústame almorzar un bo tazón de leite con cacao.	1	almorzar	Después de visitar el museo, almorzaremos en ese restaurante.	6	0	V
almorzo	O almorzo é a primeira comida do día.	1	almuerzo	Servirán el almuerzo a las 14.00 horas.	2	0	N
andar	Vive nese edificio no sétimo andar.	5	andar	Le gusta andar solo y a su aire.	2	0	V
anelar	Ten que anelar os pitiños.	2	anhelar	Anhela llegar a ser un gran músico.	0	0	V
ano	O teu curmán acabou a ESO o ano pasado, non?	7	ano	La fisura anal le causa dolor en el ano.	8	0	N
año	A ovella pariu tres años.	4	año	El próximo año irán de vacaciones a Irlanda.	2	0	N
balor	Deixaches perder os tomates, están xa con balor.	7	valor	¿Cuál es el valor real de ese hallazgo?	3	0	N
berro	Cando chegues bota un berro, que o timbre está estragado.	4	berro	Puedes añadirle unas hojas de berros o de espinacas.	5	0	N
calar	Cala a boca e escoita o que che din.	0	calar	Esa idea no va a calar entre la juventud.	5	0	V
callar	A neve alí non chegou a callar.	6	callar	Deberías callarte y escuchar con atención.	1	0	V
chocar	A galiña choca os ovos.	2	chocar	Estos dos vehículos acaban de chocar.	5	0	V
encosta	Caeu pola encosta abaixo.	2	encuesta	¿Podrías cubrir esta encuesta de satisfacción con el producto adquirido?	3	0	N
esperto	A avoa xa está esperta, sempre madruga.	4	experto	Es un experto de las finanzas.	2	0	A
hasta	O vento rompeu a hasta da bandeira.	4	hasta	Es gracioso, divertido y hasta ocurrente.	4	0	N/P
neto	Naceu o seu primeiro neto, fillo da súa filla maior.	4	neto	Ese es el sueldo bruto, no el neto.	7	0	N
niño	O paxariño fixo un niño na árbore.	4	niño	En esa guardería hay muchos niños y niñas.	5	0	N
présa	Sempre anda ás présas e aínda así chega tarde.	3	presa	Es un experto en aves de presa.	6	0	N
rato	O gato pillou un rato.	4	rato	Ya se fue, pero dijo que volvería en un rato.	9	0	N
relevo	O relevo dese terreo é moi irregular.	1	relevo	Tras dejar la dirección, ella tomo su relevo.	7	0	N
sono	Ter un bo sono é fundamental para a saúde.	3	sueño	Su sueño es viajar al espacio.	1	0	N
tirar	Hai que tirar o lixo.	2	tirar	Debes tirar de la cadena después de ir la baño.	1	0	V
zorra	Encántalle esvarar na zorra polas costas nevadas.	3	zorra	Un tipo de ardilla es la ardilla zorra.	7	0	N
carta 	Escribinlle unha carta ao meu curmán, vou levala a Correos.	2	carta	El cartero ha traído dos cartas para ti.	5	1	N
Conclusión	E tras todo iso, a que conclusión chegaches?	6	conclusión	¿Cómo has llegado a esa conclusión?	5	1	N
constante 	É moi metódico e moi constante no seu estudo.	5	constante	Con trabajo constante lo conseguirás.	2	1	N
costume	Teño o costume de tomar café polas mañás.	2	costumbre	Como de costumbre, en Navidad cenaremos juntos.	2	1	N
desexo 	Ten o desexo de ir a Exipto.	2	deseo	Su deseo es formar una gran familia.	1	1	N
día 	Dispón de vinte días de vacacións.	3	día	Este año febrero tiene 28 días.	5	1	N
Diminuír	O volume de traballo diminuiu nos últimos meses.	4	disminuir	El número de matriculados disminuyó este curso.	4	1	V
Doméstico	Alén do traballo ten que atender a asuntos domésticos.	8	doméstico	Es un limpiador de uso doméstico.	5	1	A
Familia	Os gatos pertencen á familia dos felinos.	4	familia	La piedra pómez pertenece a la familia de los silicatos.	6	1	N
fuga	O incendio foi provocado por unha fuga de gas.	6	fuga	Se ha producido una fuga en esa tubería.	4	1	N
fundamental	A auga é fundamental para a vida.	3	fundamental	Es fundamental que prestes mucha atención ahora.	1	1	A
Impresión	Esa muller causoulle boa impresión.	4	impresión	Tengo la impresión de que no lo has comprendido.	2	1	N
minucioso 	É moi minucioso e non esquece ningún detalle.	2	minucioso	Es un trabajo profundo y minucioso.	5	1	A
obra	Cal é a obra que máis che gusta dese artista?	3	obra	Ese artista ha llevado a cabo numerosas obras.	7	1	N
observación 	É un sitio idóneo para a observación das estrelas.	6	observación	La observación del cielo nocturno es mejor con telescopio.	1	1	N
Posible	Ese é un posible tema para tratar no coloquio.	3	posible	Comentó que era posible que su avión se retrasase.	3	1	A
proporción 	A proporción de aprobados é satisfactoria.	1	proporción	La proporción de azúcar de ese batido es muy alta.	1	1	N
vantaxe 	Que vantaxes lle ves a facer iso?	1	ventaja	Tiene la ventaja de ser la más rápida.	2	1	N
documento	Co lume todos os documentos desapareceron.	4	Documento	¿Han traído los documentos necesarios para la venta?	3	1	N
día	Vémonos en dous días, non o esquemas.	3	día	El próximo día continuamos con los ejercicios.	2	1	N
asustar	Esa máscara de Samaín asustou ao neno.	4	Asustar	Es muy valiente y no se asusta con nada.	6	1	V
maldade	Non ten maldade ningunha.	2	maldad	No confíes en él, tiene mucha maldad.	6	1	N
peito	Tiven unha revisión de peito.	4	pecho	En ese cuadro la figura tiene el pecho descubierto.	7	1	N
Pintar	Regaláronlle un cadro que pintaron nas súas vacacións.	4	Pintar	Mi hija me ha pedido un cuaderno para pintar.	8	1	V
visitar	Non podemos deixar de visitar os parques da cidade.	4	visitar	Los príncipes visitarán el museo.	4	1	V
