W1	C1	P1	W2	C2	P2	R	POS
alagar	As treboadas alagaron locais e sumidoiros e provocaron un incendio.	2	halagar	Además, varias ciudades griegas deseaban halagar con ello al emperador amigo de los griegos.	5	0	V
bacía	A bacía presenta unha paisaxe sedimentaria relativamente uniforme.	1	vacía	Una jugada consiste en poner una piedra en una intersección vacía.	10	0	N/A
balor	En cambio, o terceiro aparece invadido poño balor, como se levase semanas aí.	7	valor	Cualquier objeto puede ser usado como clave o valor.	8	0	N
coello	O coello de monte é o principal obxectivo da caza menor en Galicia.	1	cuello	El vientre, el pecho, el cuello y la barbilla tienen un color blanco.	5	0	N
encosta	Nas zonas de maior pendente empregaranse mallas antiescorregamento ou calquera outra medida necesaria para evitar o arrastre de materiais encosta abaixo.	19	encuesta	Las encuestas preelectorales daban prácticamente un empate a los cinco principales candidatos.	1	0	N
grúa	A grúa era un ave de agoiro.	1	grúa	Mejoró los relojes, el telar, las grúas y muchas otras herramientas.	6	0	N
hasta	A bandeira irá encavada en hasta dun longo equivalente a tres veces o seu ancho.	5	hasta	El espacio es, en fin, vital, dinámico, múltiple y hasta simultáneo.	9	0	N/P
obvio	Resulta obvio e escandaloso que son casos de portas xiratorias.	1	obvio	El primer y más obvio resultado fue una mejora en la capacidad militar del ejército.	4	1	A
traballador	Obrigas de o traballador en materia de prevención de riscos laborais.	3	trabajador	Al día siguiente, se cumplieron todas las demandas de los trabajadores.	10	1	N
cabalo	Ningún cabalo pode cruzar a auga velenosa.	1	caballo	Los caballos presentan fiebre, anorexia, depresión y cólico con diarrea hemorrágica.	1	1	N
documento	Os documentos deberán ser orixinais ou fotocopias compulsadas.	1	documento	Existen tres hipótesis basadas en los documentos de la época.	6	1	N
Doméstico	úsanse moito na cociña ademais de teren outros usos domésticos e industriais.	9	doméstico	Estos contenedores suelen ser compatibles con la mayoría de los reproductores domésticos.	11	1	A
Escaseza	A relixión é pouco coñecida por a escaseza de fontes.	7	escasez	En las barrancas predominaba las construcciones de piedra y lodo por la escasez de madera.	12	1	N
fuga	trataron de deter a fuga de gas do tubo danado.	4	fuga	Se temía más tarde una posible fuga radiactiva.	6	1	N
fundamental	os computadores son fundamentais para a moderna estrutura industrial.	3	fundamental	Sus diseños y realizaciones influyeron de manera fundamental en otros fabricantes de la época.	7	1	A
Impresión	O canal deixou moi forte impresión en os primeiros visitantes occidentais de o celeste imperio.	5	impresión	Es pequeña y da la impresión de haber sido terminada precipitadamente.	5	1	N
mozo	O meu mozo anda a traballar o pobre.	2	mozo	Después pasó a realizar trabajos ocasionales como la venta de zapatos para mujeres y trajes para hombres, venta de seguros a puerta fría, mozo de almacén, albañil o cortando tabaco.	23	0	N
pegada	Quedan moitas pegadas da boa arquitectura.	2	pegada	Presenta una carilla articular pegada a la superficie articular.	4	0	N
pena	Pena Grande é o xacemento arredor de o que se deseñou, en boa parte, o Museo de Prehistoria de Vilalba, dirixido por a persoa que escavou este xacemento.	0	pena	Así, defienden la pena de muerte.	3	0	N
polbo	E por suposto, haberá polbo e outros moitos manxares.	4	polvo	Es un polvo blanco, cristalino, inodoro y soluble en agua.	2	0	N
ravo	A fonte de alimento da larva da bolboreta da col son as coles, ravos e o envés das follas.	13	rabo	Dependiendo de la calidad de la lidia se otorgan trofeos como las orejas y el rabo.	15	0	N
seita	Hai moitas herexías, moitas seitas.	4	seta	Además la abundancia existente de setas y hongos en la región aportan gran valor culinario tanto si se consumen solos o acompañando a otros guisos.	5	0	N
soño	Sexa o soño que sexa non te odiarei.	2	sueño	Otros efectos secundarios pueden incluir necesitar menos sueño después de una dosis.	7	0	N
vestiario	Tén a disposición vestiarios para os profesionais que queiran dar se unha ducha.	3	bestiario	Este animal aparece en numerosos bestiarios europeos medievales, situándosele casi siempre en África.	5	0	N
abalar	Paramos un ratiño no santuario da Virxe da Barca, e miramos a pedra de abalar.	14	avalar	Dos ediciones de sus obras y numerosas polémicas avalan su fama.	8	0	V
aboiar	Na entrada da gruta, vin unhas medias aboiando na auga.	7	abollar	Una furgoneta de alquiler que se abolló debido a que la gente estaba subiéndose encima.	6	0	V
alagar	O martes unha sala contigua ao almacén alagouse pola auga.	7	halagar	Además, varias ciudades griegas deseaban halagar con ello a el emperador amigo de los griegos.	5	0	V
almorzar	No verán, a familia erguíase cedo e almorzaba ás oito ou antes.	6	almorzar	El viaje continuó por Italia, donde almorzó con el ministro de Relaciones Exteriores, visitó guarderías infantiles.	7	0	V
andar	A policía desaloxou a zona na procura dun segundo paquete sospeitoso que tamén foi recibido na mesma oficina, situada no cuarto andar.	21	andar	Tiene un carácter muy arisco, y suele andar en solitario.	7	0	V
anelar	Neste tempo procédese tamén ao anelado das aves capadas.	5	anhelar	Es un perfeccionista que anhela ser aceptado y hacer amigos por todo el mundo.	4	0	V
ano	Debo ler douscentos ou trescentos libros de poesía ao ano.	9	ano	El aparato digestivo de los vertebrados consiste en una cavidad oral, faringe, esófago, estómago, intestino y ano.	16	0	N
año	Poden dar un año e unha rapa por ano, incluso cando as condicións de pasto son frouxas.	3	año	Durante estos años también lanzó varios modelos de cadenas musicales, con plato para discos y doble pletina en un pack integrado con el mueble.	2	0	N
avaliar	Avaliáronse os puntos críticos da instalación.	0	avalar	La industria de este mineral es seguida de cerca por el gobierno provincial que avala su cotización en el mercado internacional.	14	0	V
berro	A vendedora chamou por ela a berros, pero estaba claro que se facía a sueca.	6	berro	Los potajes más conocidos son el potaje de berros, lentejas, trigo, verduras o el de calabaza.	8	0	N
calar	De súpeto calaron, mirándome, expectantes.	2	calar	Por fin, veinte años después, la sombra de el teatro como espectáculo total y ejercicio de provocación, consiguió calar en España.	18	0	V
callar	Pois resulta que non, que callou ben.	5	callar	En este caso, decir la verdad equivale a cooperar, a callarse.	10	0	V
chocar	Tanto os machos coma as femias fan quendas para chocar os ovos.	9	chocar	El remolque chocó contra el pilar de el puente a tal velocidad que causó su derribo.	2	0	V
coxote	De que este viu o león, guindoulle a súa machada e fíxolle unha ferida grandísima no coxote.	16	coyote	Las orejas y el hocico del coyote parecen largos en relación al tamaño de su cabeza.	6	0	N
envellecer	O país envellece e faino moito máis do que debera.	2	embellecer	Diversos valles también embellecen la región.	3	0	V
esperto	Xusto despois esperto e líbrome do problema.	2	experto	Se entiende que un golpe de un verdadero experto podría significar la muerte.	8	0	N/A
minucioso	Unhas festas ben organizadas requiren tempo, ilusión e unha minuciosa preparación.	9	minucioso	El estilo, minucioso, es cercano al gótico.	2	1	A
Mostrar	O fósil achado mostra dúas cabezas e dous pescozos.	3	mostrar	La bandera no muestra un arcoíris real.	3	1	V
motivo	En toda a semana non lle dixo a ninguén o motivo da invitación.	10	motivo	Por ese motivo se suelen incluir esos productos entre los aguardientes.	2	1	N
obra	non é considerada como unha das súas obras máis memorables.	7	obra	Dejó importantes obras, algunas merecedoras de significados premios.	2	1	N
observación	Ten ademais miradoiros e lugares para a observación das aves.	7	observación	Para eso utilizaron la técnica de la observación directa.	7	1	N
pintar	Desfrutei moito véndote pintar.	3	pintar	Pinta también paisajes, especialmente bosques, naturalezas muertas y figuras agrupadas alrededor de una mesa.	0	1	V
Posible	posibles usos da enerxía nuclear.	0	posible	De esta manera, es posible producir puntas piramidales limitadas por planos cristalográficos de el material.	4	1	A
proporción	A proporción de carotenoides que se absorben decrece consonte aumenta o seu consumo en a dieta.	1	proporción	Todos ellos son estables teniendo el resto de isótopos una proporción ínfima.	10	1	N
repertorio	Estudio de un repertorio que inclúa obras de diferentes épocas e estilos.	3	repertorio	El repertorio iconográfico de estos sellos es variado.	1	1	N
reserva	O seu territorio é unha reserva natural de gran valor ecolóxico, con algúns endemismos propios.	5	reserva	España cuenta con la mayor reserva de olivos de Europa.	5	1	N
respirar	podo respirar mellor cando o aire está limpo.	1	respirar	Así, todos los insectos, incluyendo las cucarachas, pueden respirar sin la cabeza.	8	1	V
Resultar	Isto resultou ser máis ou menos o argumentario meu.	1	resultar	Sin embargo, resultó ser un fracaso crítico y comercial.	2	1	V
totalidade	A constitución de cada comisión exixirá a presenza de a totalidade de os seus membros.	10	totalidad	Una parte o la totalidad de ellos está dividida en entidades menores conocidas como parroquias civiles.	4	1	N
Transpiración	a transpiración é un proceso homeostático.	1	transpiración	La transpiración se produce cuando el sol calienta el agua dentro de la hoja.	1	1	N
vantaxe	Analizaron se as vantaxes e as desvantaxes de as centrais eléctricas.	3	ventaja	La ventaja de montar un servidor en computadoras dedicadas es la seguridad.	1	1	N
visitar	Nin o pai nin o fillo visitaron Italia nunca máis.	6	visitar	De hecho, el embajador senegalés visitó nuestro país.	5	1	V
agradábel	É un compañeiro agradable.	3	agradable	Presenta un olor intenso y picante y un sabor agradable, aunque ligeramente amargo.	9	1	A
Arrastrar	Ascendo pola súa bancada natural, arrastrando os pés por o virxinal céspede, exhausto.	5	arrastrar	Antes de morir, se arrastra cerca de su esposa y la besa.	4	1	V
carta	enviarlle unha carta indignada ao editor.	2	carta	Futuras indagaciones siembran dudas sobre la autoría real de esas cartas.	10	1	N
casa	eles recadaron fondos para proporcionar casa aos sen teito.	5	casa	De casas blancas, y calles muy estrechas, adornadas con flores.	1	1	N
Comportamento	Comportamentos e situacións en infancia e menores.	0	comportamiento	El uso principal es informar acerca de el comportamiento de las poblaciones humanas actuales.	8	1	N
Conclusión	E a conclusión foi que había que traballar máis en máis sitios.	2	conclusión	Para esta conclusión bastaría considerar las notables diferencias entre las dinámicas de ambos juegos.	2	1	N
constante	as demandas constantes da fame.	2	constante	Su ritmo es fácil de seguir porque es bien marcado y constante.	11	1	A
contribución	estou orgulloso da miña contribución para avanzar no proxecto.	4	contribución	Cualquier contribución, opinión o lo que sea será más que bienvenida.	1	1	N
Costa	Foi un dos portos máis importantes da costa occidental do mar Negro.	7	costa	Las fincas no suelen ser excesivamente grandes, siendo las mayores las situadas hacia la costa.	14	1	N
costume	É costume facer competicións, premiando as mellores esculturas e as mellores cantigas.,	1	costumbre	Según la costumbre, nombró a su primo Carlos Gustavo como su sucesor.	2	1	N
desexo	A súa traxectoria desenvólvese entre o respecto pola tradición e o desexo de innovar.	11	deseo	Esto se refiere a el deseo de relaciones estables y de largo plazo.	5	1	N
destreza	Aplicaron se con destreza os cosméticos decorativos sobre as uñas.	3	destreza	La agricultura era una ocupación complicada y metódica que necesitaba previsión, diligencia y destreza.	13	1	N
día	Estes días non se poderán acumular ás vacacións, nin desfrutar en pontes entre festivos.	1	día	Todos los días los alumnos se levantan temprano para formar se y recibir sus clases.	2	1	N
Diminuír	a cantidade de traballo diminuíu cara ao final do semestre.	4	disminuir	La capacidad de absorción de humedad disminuye y por tanto aumenta la humedad relativa.	6	1	V
estalar	Os cristais da súa vivenda estalaron tras a explosión.	5	estallar	Un artefacto explosivo estalló entre los policías produciendo un muerto y varios heridos.	3	1	V
Excluír	Os que non o fixesen no prazo sinalado serán excluídos automaticamente das listas.	9	excluir	Los adolescentes y adultos, excluidos esos grupos, pueden obtener un beneficio discreto.	4	1	V
Familia	os tiburóns pertencen á familia dos peixes.	4	familia	Pertenece a la familia de soleidos, orden pleuronectiformes.	3	1	N
Ir	os gardas ían de porta en porta buscando o sospeitoso.	2	ir	Decide ir a casa de Maria por la carta.	1	1	V
neto	Ata agora, na galeguidade dos netos non se pensou moito.	5	neto	Gestión de patrimonio privado funciona como el brazo de la banca privada de el banco, sirviendo a individuos y familias de alto valor neto en todo el mundo.	23	0	N
niño	As crías poden abandonar o niño pouco despois e empezan a voar pasadas outras catro semanas.	5	niño	La condición es más común en niños y adultos jóvenes.	6	0	N
ornear	Lembremos que os burros ornean todos igual.	4	hornear	Este se hornea, quedando el dorado y tostado el cuero del lechón.	2	0	V
óso	Isto causa danos na pel, óso e outros órganos.	5	oso	Uno de los más conocidos representa un oso atacado por una jauría de perros.	7	0	N
présa	Esta présa por chegar a ningures carece de lóxica.	1	presa	Existen muchas variedades de aves de presa tales como cernícalos y busardos.	6	0	N/A
prestar	E o que máis me prestaba era ver aos nenos.	5	prestar	También se prestan servicios nocturnos.	2	0	V
rancho	Fora el encargar o rancho unha semana antes e ninguén lle dixera nada do sexo do animal.	4	rancho	Este inmueble es un ejemplo de los primeros ranchos que existieron en el distrito.	8	0	N
