W1	C1	P1	W2	C2	P2	R	POS
acabar	A reunión acabou á hora esperada.	2	acabar	Acabou o jogo e foi-se embora. 	0	1	V
adquirir	Adquiriu unha finca na costa mediterránea.	0	adquirir	Adquiriu grandes terrenos na região.	0	1	V
agradábel	Pasamos unha tarde agradábel na súa compaña.	3	agradável	Foi uma jornada muito agradável.	4	1	A
animal	Encántanlle os animais, por iso é veterinario.	2	animal	Os cães são animais muito fiéis. 	3	1	N
asentar	O presidente procurou asentar o seu poder.	3	assentar	Estes escritores assentaram as bases do realismo literário.	2	1	V
avó	O seu avó era o ferreiro da aldea.	2	avó	Carla, a sua avó materna, mora em Lisboa.	3	0	N
bacharelato	Ela fixo o bacharelato de ciencias.	3	bacharelato	A universidade oferta diferentes cursos de bacharelato. 	6	0	N
bailado	Agora xa non ten diñeiro, pero que lle quiten o bailado.	10	bailado	Nessa audição verás a melhor companhia de bailado do país.	7	0	N/V
balón	Esa futbolista ten un bo control do balón.	7	balao	Fez várias viagens em balão.	4	0	N
bico	Deulle un bico á súa tía cando a foi visitar.	2	bico	É uma ave com um bico muito grande. 	5	0	N
billa	A billa estragouse e está a botar auga continuamente.	1	bilha	A pastora levava uma bilha à fonte.	4	0	N
billete	Atopou un billete de 20 euros no chan.	2	bilhete	Perdi o bilhete de identidade, vou à Polícia.	2	0	N
bolsa	Molláchesme a bolsa de papel e rompeu.	2	bolsa	Ela perdeu todo o dinheiro na bolsa de valores.	6	0	N
bolso	Mercou un bolso dourado para levar á voda.	2	bolso	Estas calças não têm bolsos.	4	0	N
borracha	Estaba borracho, así que tivo que beber.	1	borracha	São botas feitas de borracha. 	4	0	N/A
branco	Lamentablemente ela sempre foi branco de críticos crueis.	4	branco	Ele bebeu um copo de vinho branco.	6	0	N/A
brillar	Os lucecús brillan nas noites de verán.	2	brilhar	Nessa tarde de verão os raios de sol brilhavam. 	8	1	N
cachorro	A loba pariu e deu catro cachorros.	6	cachorro	Comi um cachorro quente e umas batatas.	2	0	N
cámara	Ten unha cámara de vídeo moi boa.	2	câmara	A câmara municipal decidiu não lhes atribuir mais nenhuma ajuda. 	1	0	N
cociña	A casa da aldea ten unha cociña de leña.	6	cozinha	Pegou a panela e desligou a cozinha.	6	1	N
